Income,Age,Experience,Married/Single,House_Ownership,Car_Ownership,CURRENT_JOB_YRS,CURRENT_HOUSE_YRS,Profession_Encoded
2065698,24,10,0,0,1,5,11,23
6483163,37,12,0,0,1,9,10,49
3212655,67,19,0,0,0,7,14,28
2569180,44,16,0,0,1,4,11,4
9840303,24,4,0,2,0,4,11,13
9402303,72,9,0,0,0,5,10,46
765211,38,13,0,0,1,4,12,23
4842954,45,1,0,0,1,1,11,34
3498172,72,1,0,0,0,1,11,13
624985,47,11,0,0,0,6,11,4
7571507,74,17,0,0,0,3,12,10
6710324,25,0,0,0,1,0,10,13
3500133,76,1,0,0,0,1,14,41
7954308,69,17,0,0,0,7,10,36
4279587,56,11,0,0,1,11,10,48
8314069,31,17,0,0,0,8,14,17
897017,45,0,0,0,1,0,13,4
1298318,30,1,0,0,1,1,12,7
3783127,33,7,0,0,0,7,11,42
974413,35,1,0,0,0,1,14,29
1950787,53,12,1,0,0,7,12,19
5823961,75,8,0,0,0,7,12,31
5335948,52,17,0,0,0,5,14,17
1415711,40,5,0,0,0,5,10,31
2837107,70,3,0,0,0,3,11,11
1591082,66,3,0,0,0,3,11,0
4915986,45,13,0,0,1,13,14,40
8617150,30,5,0,0,1,5,12,20
3283107,58,1,1,0,0,1,12,43
5839084,35,20,0,0,1,10,10,50
9971347,77,19,0,2,1,4,14,23
1049794,66,13,0,0,0,9,11,19
3662354,37,15,0,0,1,10,10,9
5502824,54,16,0,0,1,12,10,12
4167093,77,18,0,2,0,13,12,18
3957826,78,13,0,0,0,11,11,27
2265601,72,16,0,0,0,5,12,36
8075181,21,12,0,0,0,7,14,18
3837133,32,3,0,0,0,3,11,45
8458068,34,6,0,0,0,6,13,34
800194,33,5,0,0,0,5,13,8
455805,72,0,0,0,0,0,12,13
7346294,30,2,0,0,1,2,14,34
1736074,64,3,0,0,0,3,11,16
1207390,43,4,0,0,0,3,14,17
2786131,24,6,0,0,0,6,13,49
2504515,51,14,0,0,1,7,12,31
6865559,53,1,0,0,0,1,10,12
3921208,43,20,0,0,1,11,12,21
1966474,26,16,0,0,1,4,10,47
6231397,62,10,0,0,0,4,14,10
7283454,74,5,1,0,0,5,11,19
4164773,61,10,0,1,0,4,11,30
5616669,68,11,0,2,0,5,11,11
448452,22,7,0,0,0,6,13,9
8185066,45,0,0,0,1,0,12,35
3424035,24,2,0,0,0,2,14,43
21831,26,14,0,0,1,5,10,36
553772,38,19,0,0,1,9,14,17
6870039,48,0,0,0,0,0,13,9
942803,69,19,0,0,1,9,14,2
5623739,75,19,0,0,0,9,12,17
3635824,56,8,0,0,0,8,13,2
5623318,31,13,0,0,1,13,11,28
1632386,43,20,0,0,0,11,14,46
3212655,67,19,0,0,0,7,14,28
9173880,41,18,0,0,1,7,14,44
5286649,46,4,0,0,0,4,14,48
5484941,25,1,0,0,0,1,10,47
8901342,50,12,0,0,0,9,14,33
4939664,61,14,1,0,1,4,12,21
1845417,45,10,0,0,1,7,12,37
4145551,46,15,1,0,0,11,13,43
3243684,21,1,0,0,0,1,10,16
5408156,77,2,0,0,0,2,14,48
3390492,54,13,1,0,0,10,14,10
8856107,53,20,0,0,0,8,12,30
4488237,76,9,0,0,1,9,10,8
5776018,58,1,0,0,1,1,11,6
1426168,70,19,0,2,1,9,13,33
6302637,71,3,0,0,1,3,13,46
2582117,54,11,0,0,1,3,14,38
9500698,27,8,0,0,0,8,14,42
5957090,48,18,1,0,1,3,12,27
1780484,24,10,0,0,0,5,13,4
6227811,60,14,0,2,0,12,12,27
3354728,78,13,0,0,1,10,14,24
2702504,46,19,0,0,0,7,14,1
2467380,54,0,0,0,0,0,13,9
2607516,76,5,0,0,1,5,11,16
2036827,49,11,0,0,0,10,13,17
6360884,65,8,0,0,1,5,11,36
9017508,40,17,1,0,1,6,13,44
8881776,49,13,0,0,0,13,12,38
3560975,27,12,0,0,0,7,13,16
3615870,38,11,1,0,1,9,10,39
1362373,21,0,0,0,0,0,10,37
3083768,34,12,0,0,0,5,11,5
3345583,32,2,0,0,0,2,14,23
1621444,22,16,0,0,0,9,11,34
8597423,27,18,0,0,0,6,12,19
7364088,74,5,0,0,0,5,11,19
3840944,68,14,0,0,0,9,12,34
2057121,73,14,0,0,0,11,14,40
1948549,71,4,0,0,0,4,12,6
2024213,38,19,0,0,0,8,14,36
6669896,60,15,0,0,1,14,12,42
974413,35,1,0,0,0,1,14,29
2018913,68,7,0,0,1,7,13,15
491399,57,12,0,0,0,3,11,23
1500447,75,13,1,0,0,13,12,26
1024065,24,13,0,0,0,10,10,40
5608121,52,7,0,0,0,7,14,14
752752,76,3,0,0,0,3,12,14
1364478,33,2,0,0,0,2,11,10
3417372,35,16,0,0,0,13,10,34
9841721,58,19,0,0,0,9,12,47
5794794,61,19,0,0,0,13,11,8
4811867,41,18,1,0,0,10,10,12
2813026,68,17,0,0,1,5,14,16
270761,48,1,0,0,0,1,11,28
9253093,54,2,0,0,1,2,12,50
3873393,21,7,0,0,1,7,14,8
2309662,64,12,0,2,0,10,11,30
2624819,60,14,0,2,1,3,12,30
3711494,63,6,0,0,1,6,14,39
4140058,73,12,0,0,0,12,10,8
3139662,42,16,0,0,1,6,12,14
5544342,73,4,0,2,0,4,12,23
1148139,27,9,0,0,0,5,14,43
2074419,37,1,0,0,0,1,11,16
3130971,43,16,0,0,1,13,11,13
1171428,45,11,0,0,1,5,11,43
1100548,49,3,0,0,1,3,10,19
4823993,51,6,0,0,1,6,13,7
979926,61,14,0,0,1,7,11,0
8996295,64,17,0,0,0,9,11,2
3509965,32,9,0,2,0,3,12,44
9454655,35,7,0,0,0,7,14,5
978225,72,0,0,0,1,0,13,35
8282723,24,16,0,0,1,10,14,29
2117123,72,7,0,0,0,3,14,24
4352389,55,7,0,0,0,3,10,11
223993,54,7,0,0,0,7,11,14
9464966,67,14,0,1,1,14,10,43
9047999,50,1,0,1,0,1,14,24
1960708,72,5,0,0,1,5,14,11
448021,54,11,0,0,0,11,14,1
1066119,69,16,0,0,1,12,11,40
3369331,72,18,0,0,0,11,14,23
8669868,63,10,0,0,0,6,11,37
1176725,38,19,0,0,1,9,11,1
8802134,69,5,0,0,1,5,10,3
752752,76,3,0,0,0,3,12,14
3466926,54,18,1,1,0,7,12,40
2116651,55,18,0,0,1,12,14,9
1061632,75,6,0,0,1,6,10,0
6944541,63,12,0,0,1,11,11,40
3371958,23,15,0,0,0,4,12,18
6786248,21,1,0,0,0,1,14,41
270354,21,2,0,0,0,2,13,23
3748391,38,14,0,2,0,10,10,24
3040483,33,7,0,0,1,7,11,37
1902101,70,3,0,0,0,3,10,27
9041615,79,2,0,0,0,2,11,5
9739506,38,19,0,0,0,13,12,28
2252168,62,5,0,0,0,5,10,12
8508480,46,0,0,0,0,0,10,47
1678997,47,20,0,0,0,12,13,30
4692771,73,3,0,0,0,3,13,22
1369446,59,3,0,0,0,3,11,0
2585890,58,2,0,0,0,2,14,30
1349987,37,13,0,2,0,8,11,46
3632655,76,18,0,0,0,12,10,2
1025043,75,5,0,0,0,5,10,8
479199,57,18,0,0,0,13,13,8
4742685,38,2,0,0,1,2,12,44
5738912,76,9,1,0,0,9,14,7
8406226,62,19,1,0,0,7,13,35
1399162,22,8,0,0,1,8,10,4
3155112,46,10,1,0,0,9,12,46
8702502,32,3,0,0,0,3,13,32
6247448,43,7,0,0,0,6,11,27
4135453,67,4,0,1,1,4,12,38
912537,27,20,0,0,0,11,11,1
1363933,45,14,0,0,1,4,10,26
1141065,65,3,0,0,0,3,11,1
1429643,24,11,0,0,0,11,10,12
3357391,48,16,0,0,0,14,12,27
3412117,76,3,0,0,1,3,14,8
7037465,60,0,0,0,0,0,14,36
4122315,31,14,0,2,1,10,11,23
3727264,30,15,0,2,0,10,10,30
1014244,36,9,0,0,0,9,10,49
1551042,70,18,0,0,0,13,13,10
5278563,52,8,0,0,0,5,10,12
4915158,25,5,0,0,1,5,12,12
2909945,59,10,0,0,0,8,14,12
1950853,54,6,0,0,0,6,14,25
6588340,29,3,0,0,0,3,11,38
3419134,55,2,0,0,1,2,12,7
8693161,53,5,1,0,1,3,10,35
3954973,58,14,1,0,0,8,12,29
5768871,47,11,0,0,0,3,14,12
5648251,48,2,0,0,1,2,13,9
2810048,79,7,0,0,0,7,13,6
2212287,38,11,0,0,0,11,14,26
2499018,24,15,0,0,0,8,13,5
5056718,76,9,0,0,0,3,10,14
2024213,38,19,0,0,0,8,14,36
3459394,53,8,0,0,1,5,12,28
2915841,52,7,0,0,0,3,12,27
6971490,58,18,0,0,0,10,13,48
5408156,77,2,0,0,0,2,14,48
8256546,65,19,0,0,0,11,12,23
4426457,76,13,0,0,1,4,14,46
3328291,61,6,0,0,0,6,13,49
3994234,72,18,0,0,0,4,13,37
8817647,55,10,0,0,1,10,13,46
1837938,37,15,0,0,0,10,14,17
4925393,59,7,0,0,1,7,11,18
1538951,73,9,0,0,1,9,10,2
6971490,58,18,0,0,0,10,13,48
2357771,59,1,0,0,1,1,12,46
156145,69,7,0,0,1,7,13,15
3245048,38,8,0,0,1,8,13,45
6640546,60,20,0,0,1,14,10,13
3069692,47,19,0,1,0,5,11,4
4050849,78,18,0,0,0,12,11,38
4613553,27,13,0,2,0,13,10,30
5338690,47,13,0,0,0,13,11,12
4281675,65,15,0,0,0,6,11,23
3705482,73,9,0,2,0,9,10,42
4393229,34,11,0,0,1,9,12,33
8723251,54,15,0,0,1,13,12,28
1315106,62,5,0,0,0,5,12,0
495619,26,1,0,0,0,1,14,11
7475446,60,13,1,0,0,5,14,32
4079537,68,1,0,0,0,1,10,22
752752,76,3,0,0,0,3,12,14
1832125,54,13,0,0,1,12,14,39
5910956,31,15,0,1,0,8,10,24
3996479,46,2,0,0,1,2,10,37
7327714,72,8,0,0,0,6,13,40
3482496,43,13,0,0,0,8,14,3
9417795,46,8,0,2,0,8,11,41
9737452,41,1,1,0,0,1,12,9
362328,25,14,0,0,0,8,12,22
2116007,24,5,0,0,1,5,13,16
1818040,54,1,0,0,0,1,14,25
7039069,78,11,0,0,1,4,12,20
9380612,21,12,0,2,1,4,13,25
5207224,47,3,1,0,1,3,13,17
3722050,73,12,0,0,0,11,13,23
7985754,37,8,0,0,0,6,14,30
9516616,51,0,0,0,0,0,12,49
3657620,54,3,0,0,0,3,13,1
110437,41,8,0,0,0,8,12,0
2247878,42,17,0,0,0,4,12,48
4657522,59,9,0,2,0,4,13,26
7126847,31,9,0,0,0,9,11,10
1185318,40,3,0,0,0,3,10,50
1612818,79,10,0,0,0,10,11,33
98356,50,4,0,0,1,4,13,3
2453112,34,6,0,0,0,6,14,31
3887467,38,7,1,0,0,5,13,8
1510736,37,12,0,0,0,5,12,18
8215558,43,1,0,0,1,1,13,24
4439374,70,16,0,2,1,14,10,36
2730813,59,6,0,0,0,4,13,3
2442178,34,15,1,0,0,10,13,25
1349987,37,13,0,2,0,8,11,46
3495631,56,18,0,0,0,3,13,31
955441,79,19,0,0,1,13,12,5
532746,78,18,1,0,1,10,12,44
3995744,50,17,0,0,0,5,14,29
7293772,58,6,0,0,0,6,11,17
8845185,42,16,1,0,1,6,14,15
2421681,33,8,0,0,1,4,13,41
3921757,77,11,0,0,0,3,14,27
150879,77,0,0,1,1,0,12,33
5112961,67,5,0,0,0,3,10,15
6969623,26,17,0,0,0,9,11,41
8056757,42,18,0,0,0,3,13,10
1106260,39,8,0,2,0,8,10,13
3864475,44,14,0,0,0,10,11,10
3524413,77,5,0,0,0,5,11,26
4871820,37,12,0,0,0,10,10,15
2229331,79,6,0,0,1,6,11,44
886688,35,9,0,0,0,9,11,39
3350415,29,9,0,0,0,6,12,29
512579,48,7,0,0,1,7,11,26
6258651,24,18,0,0,0,4,11,24
2657404,29,4,0,0,0,4,13,31
4965382,33,19,0,0,1,9,10,12
2980197,74,0,0,2,0,0,14,15
2726309,21,13,0,0,1,10,11,50
3054109,23,1,0,0,1,1,13,41
374089,23,19,0,0,0,9,10,30
7229092,78,9,0,0,1,6,11,9
2304673,60,5,0,2,1,5,12,14
1829777,27,8,0,0,1,3,14,44
413811,78,6,0,0,1,6,11,5
53886,72,12,0,0,1,12,10,22
1929764,45,5,0,0,0,3,12,2
2975236,55,13,0,0,1,12,10,43
6088232,58,18,0,0,0,4,10,17
6367660,64,16,0,0,1,7,12,26
7239452,62,18,0,0,1,5,13,12
5124001,78,12,0,0,0,12,10,38
2926477,78,19,0,0,0,3,10,14
6744134,56,13,0,0,1,8,14,0
72998,51,16,0,0,0,13,13,2
4128828,21,10,0,0,0,10,12,42
1072440,29,15,0,0,0,6,12,22
940069,39,12,0,0,0,11,12,43
310478,29,19,0,0,0,11,11,9
5927472,54,1,0,0,0,1,10,20
6501716,37,5,0,0,0,5,13,12
2902285,77,19,0,0,0,11,10,9
2909502,27,18,0,0,0,4,11,14
8039588,41,2,0,0,0,2,11,25
6006286,55,5,0,0,1,3,13,42
8773158,58,18,0,0,1,5,13,32
645868,53,6,0,0,1,3,13,47
6979096,39,7,0,0,0,7,11,8
2065698,24,10,0,0,1,5,11,23
3602416,48,3,0,0,0,3,13,25
9066167,25,11,0,0,0,5,12,7
9604465,45,12,1,0,1,6,12,49
1577881,73,14,0,0,1,14,12,29
6913336,51,6,0,0,1,3,13,29
2442178,34,15,1,0,0,10,13,25
8939740,78,17,0,0,0,11,11,24
6486411,48,10,0,1,0,10,11,38
8502580,66,5,0,0,1,5,10,48
2800327,50,6,0,0,1,6,10,4
1857595,26,19,0,0,0,12,13,37
4647997,42,18,1,0,0,5,12,5
8753042,74,12,1,0,0,9,12,17
998868,44,16,0,0,0,5,13,31
6084931,24,8,0,0,0,8,11,26
6881734,70,19,0,0,0,8,14,21
291391,33,8,0,0,0,6,13,19
7233894,37,9,0,0,0,3,12,46
3730091,24,17,0,0,0,4,13,37
2570620,53,11,0,0,0,10,11,15
739809,55,4,0,0,0,4,12,26
6965955,68,7,0,0,0,7,12,27
2974289,22,3,0,0,0,3,13,12
3545959,28,6,0,0,0,6,13,5
72998,51,16,0,0,0,13,13,2
3025492,26,3,0,0,0,3,10,7
3512152,35,3,0,1,1,3,13,37
4050425,77,17,0,0,0,3,14,30
1025043,75,5,0,0,0,5,10,8
7084312,72,19,0,0,0,4,14,47
9897868,43,17,0,0,1,8,14,37
8755619,42,20,0,0,0,9,12,10
2541624,32,15,0,0,0,3,12,7
7026123,59,19,0,0,1,4,10,8
8645202,65,9,0,2,0,9,13,40
979926,61,14,0,0,1,7,11,0
3077869,46,5,0,0,0,5,13,5
4195860,46,8,0,0,0,5,11,7
4349239,57,5,0,0,0,5,13,38
3689673,43,11,0,0,0,11,13,29
1578598,50,11,0,0,0,11,11,4
3806752,75,2,0,0,0,2,12,12
5239354,69,1,1,0,0,1,11,8
2688331,68,16,0,0,0,8,11,38
21831,26,14,0,0,1,5,10,36
6234138,67,5,1,0,0,4,10,8
9310823,78,4,1,0,0,3,12,19
1477966,55,7,0,0,0,5,14,26
2397672,70,6,0,0,0,6,11,9
6474681,31,6,0,0,0,6,10,30
2921933,58,12,0,0,0,3,14,45
6814983,51,18,0,0,0,14,11,4
7631011,39,19,1,0,0,12,10,3
8822942,65,13,0,2,0,8,12,19
2802877,70,14,0,0,0,10,11,7
2449147,42,3,1,0,0,3,12,37
8639497,61,0,0,0,0,0,13,6
6620595,64,18,0,0,1,11,12,8
2062048,50,3,0,0,1,3,11,35
7936020,49,13,0,0,0,6,11,28
6354276,69,11,0,0,1,5,12,6
1194649,68,7,0,0,0,7,14,32
2169848,59,16,0,0,0,10,10,8
3260840,70,11,0,0,1,7,11,48
1929764,45,5,0,0,0,3,12,2
9402303,72,9,0,0,0,5,10,46
3145889,47,17,1,0,1,4,11,8
6533246,41,11,0,0,0,4,14,33
7296341,60,13,0,0,0,4,13,9
9283615,61,14,1,0,0,9,10,33
6477772,52,13,0,0,0,5,11,1
3164367,45,12,1,0,0,9,12,46
8230848,34,3,0,0,0,3,14,10
2092058,26,18,0,0,0,3,11,45
2182261,43,4,0,0,1,4,12,0
2399999,36,8,0,0,0,8,12,41
544376,71,19,0,0,0,9,12,8
1885923,46,16,0,0,0,8,14,5
5823961,75,8,0,0,0,7,12,31
3936176,64,10,0,0,0,10,11,39
4019987,39,13,1,0,0,8,12,3
1551042,70,18,0,0,0,13,13,10
3154685,27,1,0,0,0,1,12,18
3838687,76,13,0,0,1,13,12,16
2389351,62,5,0,1,0,5,14,16
2577341,48,7,0,0,1,7,11,4
8658757,28,6,0,0,1,6,14,20
2896027,79,19,0,0,1,13,13,26
894168,26,20,0,0,1,14,14,7
5695619,29,4,0,0,0,4,13,3
5643939,76,11,0,0,1,3,11,50
2106520,30,14,0,0,0,7,14,13
9360376,39,4,0,0,1,4,14,24
2802877,70,14,0,0,0,10,11,7
308905,61,6,0,0,0,6,13,38
208537,33,6,1,0,0,6,12,25
1549623,53,16,0,0,0,14,14,40
7312632,53,8,0,0,0,8,12,11
4272756,29,6,0,0,0,6,13,24
3364840,53,1,0,0,1,1,12,16
8596122,61,6,0,0,0,4,11,49
4028229,46,17,0,0,0,5,12,16
3864475,44,14,0,0,0,10,11,10
3671933,78,18,0,0,0,12,12,21
8413446,35,11,0,0,0,4,11,40
1216848,60,9,0,0,0,9,12,42
1325345,66,8,0,0,0,8,14,21
10675,23,1,0,0,1,1,14,9
1514872,76,8,0,0,1,8,13,6
1888040,43,2,1,0,0,2,13,10
991107,34,14,1,0,1,7,10,49
8489881,34,4,1,0,0,4,12,49
9747887,40,19,0,0,0,4,14,15
1171901,57,10,0,1,1,9,12,21
4645583,71,14,0,0,0,11,14,14
6481616,70,16,0,0,1,13,10,24
4218091,69,10,0,0,0,3,11,24
983168,69,15,0,0,1,8,11,14
6350875,41,5,0,0,0,5,11,33
6441560,46,16,0,0,0,4,10,26
4931330,22,14,0,0,1,5,10,32
998868,44,16,0,0,0,5,13,31
3643652,56,2,0,0,0,2,10,47
9296631,31,19,0,0,0,11,12,45
1131868,46,10,0,0,0,10,12,2
4759451,60,4,1,0,0,4,13,10
332177,70,20,0,0,0,7,13,50
4043791,48,18,0,0,1,13,14,38
2204102,22,17,0,0,0,7,12,38
3941355,71,14,1,0,0,12,10,2
3203489,36,3,0,0,1,3,10,42
1014244,36,9,0,0,0,9,10,49
2186449,66,4,0,0,0,4,14,22
972023,37,6,0,0,1,5,11,49
2274902,34,11,0,0,1,11,14,38
842194,27,16,0,0,0,10,11,6
3173716,29,8,0,0,1,8,11,40
7091843,60,20,0,0,0,3,13,47
6145246,32,3,0,0,1,3,14,28
7306045,52,7,0,0,0,7,11,43
6362986,73,13,0,0,1,6,13,42
4950300,66,20,0,0,0,4,11,38
9691088,51,4,0,0,0,4,14,43
2445626,41,6,0,0,0,6,14,6
9202245,74,16,0,0,1,13,12,21
2162632,76,7,0,0,1,7,10,4
779324,45,20,0,0,0,4,10,38
8425571,73,15,0,0,0,8,14,50
8237019,76,8,0,0,1,8,12,7
90178,76,9,0,0,0,9,11,2
2825908,45,1,0,0,1,1,10,28
6098816,64,10,0,0,0,8,10,49
389819,29,3,1,0,0,3,14,8
3055894,68,3,0,0,0,3,12,32
5646079,40,9,0,0,0,9,10,32
2888327,52,19,0,0,1,8,12,8
2369392,59,17,0,0,0,13,14,43
1312362,25,7,1,0,0,7,13,42
8440968,22,12,0,0,0,5,12,22
5128999,53,12,0,0,0,12,10,49
248099,56,9,0,0,0,7,12,0
8788135,77,7,1,0,0,7,11,44
1816526,30,13,0,0,1,12,11,30
6466990,37,13,0,0,0,6,14,19
529939,48,18,0,0,0,6,13,48
990424,30,18,0,0,0,13,10,26
8658313,44,2,0,0,0,2,11,45
8793911,30,3,0,0,0,3,12,32
3479914,48,13,0,0,0,13,13,50
363970,33,9,0,0,0,9,10,9
5829652,25,7,0,2,0,7,11,47
4120478,68,4,0,0,0,4,14,29
6975092,73,9,0,0,0,9,13,38
5197016,28,6,0,0,1,6,11,13
2568817,78,5,0,2,1,5,14,48
5158722,69,3,0,0,0,3,14,8
6612955,50,5,0,0,0,5,10,5
718057,59,19,0,0,0,4,11,21
7505343,58,15,0,0,0,4,14,48
9967854,33,9,0,0,0,5,13,11
8666033,52,1,1,0,0,1,12,3
4715325,75,10,0,0,0,7,14,27
355672,47,11,0,0,0,11,14,45
2229952,43,7,0,0,0,7,14,14
8393068,61,15,1,0,0,6,14,33
8800657,52,11,0,0,0,4,14,16
5792542,45,19,0,0,0,6,13,50
98356,50,4,0,0,1,4,13,3
8688770,78,3,0,0,1,3,11,43
448021,54,11,0,0,0,11,14,1
5823961,75,8,0,0,0,7,12,31
9041615,79,2,0,0,0,2,11,5
4205118,43,12,0,2,0,4,14,35
1739039,33,19,0,0,0,10,13,28
2838734,58,14,0,0,0,5,10,20
3772124,45,6,0,0,0,6,10,35
3289640,67,18,0,0,0,3,14,21
4899772,62,18,0,0,0,12,10,32
3744074,46,19,0,0,0,10,12,1
9482746,68,10,0,0,0,6,11,14
6826826,29,8,0,0,1,8,10,17
3128681,59,4,0,2,0,4,12,8
9002497,25,11,0,0,0,11,12,12
9840250,51,10,0,0,0,9,11,17
1556371,39,11,0,0,0,8,13,45
2460413,61,15,0,0,0,6,12,19
7536082,29,1,0,0,1,1,11,28
915146,50,4,0,2,0,4,13,17
8768562,67,13,1,0,0,4,10,46
3006135,59,18,0,0,0,6,10,18
2761649,26,11,0,0,1,3,12,47
4804453,41,0,0,0,0,0,14,34
831067,48,2,1,0,0,2,11,34
413811,78,6,0,0,1,6,11,5
3632441,66,2,0,0,1,2,13,43
2280615,74,1,0,1,0,1,14,47
3656909,68,14,0,1,0,4,14,3
7458916,64,3,0,0,0,3,10,35
5082664,41,12,0,0,1,5,12,0
814732,38,1,0,0,0,1,11,13
657335,54,5,0,0,1,4,10,13
3527423,54,11,1,0,1,5,13,4
9488176,30,7,0,0,0,7,11,3
3187111,78,19,0,1,0,10,11,21
7019574,24,7,0,0,0,6,11,39
3890930,26,19,0,0,0,7,13,46
4727127,51,1,0,0,0,1,14,46
8187477,50,20,0,0,0,7,14,39
8229070,38,7,0,0,1,7,10,9
7886476,55,8,0,0,1,8,10,4
6279658,35,11,0,2,0,5,12,26
6045182,78,6,0,0,0,6,12,49
8692332,61,3,0,0,0,3,13,30
2442625,67,9,1,0,1,7,12,32
1576494,36,5,0,0,1,5,14,41
1783274,34,8,0,2,0,7,12,24
1896404,66,17,1,0,1,13,14,49
3318035,55,4,0,0,1,4,13,8
5870457,60,12,0,0,0,9,14,4
3512152,35,3,0,1,1,3,13,37
1506859,30,11,0,0,0,5,10,24
116617,62,15,0,0,0,14,11,23
1818040,54,1,0,0,0,1,14,25
1085710,72,12,0,0,0,9,10,29
2207248,49,19,0,0,1,3,12,22
347120,47,4,0,0,1,4,11,36
1045513,40,2,0,1,0,2,14,11
1556371,39,11,0,0,0,8,13,45
2295066,76,12,0,0,0,7,13,23
6699313,58,6,0,0,0,6,10,29
942803,69,19,0,0,1,9,14,2
8007478,46,4,0,0,0,4,14,39
